# == pyFAI calibration ==
# Distance Sample to Detector: 0.5717115570308332 m
# PONI: 1.291e-01, 1.314e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 571.712 mm
# Center: x=763.724, y=750.752 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.17e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/tdouglas/Documents/SHS/data_for_kaushik/Gain_corrected\NiAl8_pt003sec_00000.xy
#       2th_deg             I 
  3.976377e-03    2.074129e+00
  1.192913e-02    3.175973e+00
  1.988189e-02    3.803046e+00
  2.783464e-02    3.574886e+00
  3.578739e-02    2.883674e+00
  4.374015e-02    2.793135e+00
  5.169290e-02    3.408639e+00
  5.964566e-02    3.709923e+00
  6.759841e-02    3.506260e+00
  7.555116e-02    3.298745e+00
  8.350392e-02    3.157171e+00
  9.145667e-02    3.120901e+00
  9.940943e-02    3.397685e+00
  1.073622e-01    3.725547e+00
  1.153149e-01    3.705452e+00
  1.232677e-01    3.400225e+00
  1.312204e-01    3.318347e+00
  1.391732e-01    3.462045e+00
  1.471260e-01    3.526168e+00
  1.550787e-01    3.540365e+00
  1.630315e-01    3.645601e+00
  1.709842e-01    3.933774e+00
  1.789370e-01    3.712462e+00
  1.868897e-01    3.516511e+00
  1.948425e-01    3.466603e+00
  2.027952e-01    3.478106e+00
  2.107480e-01    3.446625e+00
  2.187007e-01    3.320741e+00
  2.266535e-01    3.409055e+00
  2.346062e-01    3.413205e+00
  2.425590e-01    3.374648e+00
  2.505118e-01    3.315202e+00
  2.584645e-01    3.283365e+00
  2.664173e-01    3.337550e+00
  2.743700e-01    3.361922e+00
  2.823228e-01    3.282473e+00
  2.902755e-01    3.308707e+00
  2.982283e-01    3.522455e+00
  3.061810e-01    3.779535e+00
  3.141338e-01    3.859028e+00
  3.220865e-01    3.884982e+00
  3.300393e-01    3.811820e+00
  3.379921e-01    3.793201e+00
  3.459448e-01    3.807609e+00
  3.538976e-01    3.893203e+00
  3.618503e-01    3.842906e+00
  3.698031e-01    3.925906e+00
  3.777558e-01    3.954539e+00
  3.857086e-01    3.905485e+00
  3.936613e-01    3.889530e+00
  4.016141e-01    3.908811e+00
  4.095668e-01    4.059993e+00
  4.175196e-01    4.171124e+00
  4.254723e-01    4.335259e+00
  4.334251e-01    4.275647e+00
  4.413779e-01    4.115200e+00
  4.493306e-01    4.039526e+00
  4.572834e-01    4.031731e+00
  4.652361e-01    4.114233e+00
  4.731889e-01    4.285449e+00
  4.811416e-01    4.460568e+00
  4.890944e-01    4.480716e+00
  4.970471e-01    4.532687e+00
  5.049999e-01    4.652569e+00
  5.129526e-01    4.802974e+00
  5.209054e-01    5.054750e+00
  5.288582e-01    5.382387e+00
  5.368109e-01    5.570060e+00
  5.447637e-01    5.835438e+00
  5.527164e-01    6.126070e+00
  5.606692e-01    6.306040e+00
  5.686219e-01    6.318874e+00
  5.765747e-01    6.387152e+00
  5.845274e-01    6.508633e+00
  5.924802e-01    6.497752e+00
  6.004329e-01    6.532592e+00
  6.083857e-01    6.481287e+00
  6.163384e-01    6.303331e+00
  6.242912e-01    6.190049e+00
  6.322440e-01    6.126154e+00
  6.401967e-01    5.985626e+00
  6.481495e-01    6.130688e+00
  6.561022e-01    6.313023e+00
  6.640550e-01    6.456685e+00
  6.720077e-01    6.351159e+00
  6.799605e-01    6.318202e+00
  6.879132e-01    6.404940e+00
  6.958660e-01    6.321860e+00
  7.038187e-01    6.279968e+00
  7.117715e-01    6.391051e+00
  7.197243e-01    6.621742e+00
  7.276770e-01    6.672926e+00
  7.356298e-01    6.593484e+00
  7.435825e-01    6.654315e+00
  7.515353e-01    6.445605e+00
  7.594880e-01    6.295817e+00
  7.674408e-01    6.274465e+00
  7.753935e-01    6.407474e+00
  7.833463e-01    6.403905e+00
  7.912990e-01    6.433697e+00
  7.992518e-01    6.413406e+00
  8.072045e-01    6.304346e+00
  8.151573e-01    6.408592e+00
  8.231101e-01    6.438767e+00
  8.310628e-01    6.549193e+00
  8.390156e-01    6.517517e+00
  8.469683e-01    6.547984e+00
  8.549211e-01    6.698874e+00
  8.628738e-01    6.761256e+00
  8.708266e-01    6.667516e+00
  8.787793e-01    6.401710e+00
  8.867321e-01    6.308460e+00
  8.946848e-01    6.552734e+00
  9.026376e-01    6.769879e+00
  9.105904e-01    6.807775e+00
  9.185431e-01    6.707336e+00
  9.264959e-01    6.612528e+00
  9.344486e-01    6.665321e+00
  9.424014e-01    6.646821e+00
  9.503541e-01    6.718054e+00
  9.583069e-01    6.609604e+00
  9.662596e-01    6.501841e+00
  9.742124e-01    6.640572e+00
  9.821651e-01    6.794640e+00
  9.901179e-01    6.808959e+00
  9.980706e-01    6.722942e+00
  1.006023e+00    6.685027e+00
  1.013976e+00    6.751916e+00
  1.021929e+00    6.698869e+00
  1.029882e+00    6.632776e+00
  1.037834e+00    6.617362e+00
  1.045787e+00    6.722609e+00
  1.053740e+00    6.779078e+00
  1.061693e+00    6.608890e+00
  1.069645e+00    6.534313e+00
  1.077598e+00    6.490973e+00
  1.085551e+00    6.549096e+00
  1.093504e+00    6.595342e+00
  1.101456e+00    6.669230e+00
  1.109409e+00    6.716193e+00
  1.117362e+00    6.701743e+00
  1.125315e+00    6.730567e+00
  1.133267e+00    6.721145e+00
  1.141220e+00    6.718396e+00
  1.149173e+00    6.701344e+00
  1.157126e+00    6.732169e+00
  1.165078e+00    6.667940e+00
  1.173031e+00    6.677084e+00
  1.180984e+00    6.710326e+00
  1.188937e+00    6.644131e+00
  1.196890e+00    6.507257e+00
  1.204842e+00    6.455551e+00
  1.212795e+00    6.578349e+00
  1.220748e+00    6.792668e+00
  1.228701e+00    6.943074e+00
  1.236653e+00    6.884880e+00
  1.244606e+00    6.849632e+00
  1.252559e+00    6.869268e+00
  1.260512e+00    6.796553e+00
  1.268464e+00    6.721486e+00
  1.276417e+00    6.688468e+00
  1.284370e+00    6.806387e+00
  1.292323e+00    6.834921e+00
  1.300275e+00    6.792837e+00
  1.308228e+00    6.759536e+00
  1.316181e+00    6.786105e+00
  1.324134e+00    6.803025e+00
  1.332086e+00    6.796669e+00
  1.340039e+00    6.786521e+00
  1.347992e+00    6.667365e+00
  1.355945e+00    6.606559e+00
  1.363897e+00    6.654971e+00
  1.371850e+00    6.832663e+00
  1.379803e+00    6.812585e+00
  1.387756e+00    6.807651e+00
  1.395708e+00    6.782027e+00
  1.403661e+00    6.855377e+00
  1.411614e+00    7.051043e+00
  1.419567e+00    7.092034e+00
  1.427519e+00    6.960511e+00
  1.435472e+00    6.880274e+00
  1.443425e+00    6.982728e+00
  1.451378e+00    7.033235e+00
  1.459330e+00    7.051204e+00
  1.467283e+00    7.097842e+00
  1.475236e+00    7.251830e+00
  1.483189e+00    7.285205e+00
  1.491141e+00    7.245890e+00
  1.499094e+00    7.128050e+00
  1.507047e+00    7.029672e+00
  1.515000e+00    7.150394e+00
  1.522952e+00    7.276411e+00
  1.530905e+00    7.395458e+00
  1.538858e+00    7.337446e+00
  1.546811e+00    7.226496e+00
  1.554763e+00    7.160915e+00
  1.562716e+00    7.201803e+00
  1.570669e+00    7.155032e+00
  1.578622e+00    7.165370e+00
  1.586574e+00    7.076037e+00
  1.594527e+00    7.061246e+00
  1.602480e+00    7.121690e+00
  1.610433e+00    7.249675e+00
  1.618385e+00    7.292374e+00
  1.626338e+00    7.339981e+00
  1.634291e+00    7.261441e+00
  1.642244e+00    7.210816e+00
  1.650196e+00    7.163756e+00
  1.658149e+00    7.128726e+00
  1.666102e+00    7.226960e+00
  1.674055e+00    7.259757e+00
  1.682008e+00    7.312132e+00
  1.689960e+00    7.331938e+00
  1.697913e+00    7.375294e+00
  1.705866e+00    7.351661e+00
  1.713819e+00    7.372850e+00
  1.721771e+00    7.317676e+00
  1.729724e+00    7.334840e+00
  1.737677e+00    7.321785e+00
  1.745630e+00    7.243112e+00
  1.753582e+00    7.173651e+00
  1.761535e+00    7.211546e+00
  1.769488e+00    7.408010e+00
  1.777441e+00    7.548975e+00
  1.785393e+00    7.505070e+00
  1.793346e+00    7.409612e+00
  1.801299e+00    7.325504e+00
  1.809252e+00    7.327091e+00
